Model,Accuracy,Precision,Recall,F1,ROC-AUC
"Weighted Ensemble (w_c=0.497, w_i=0.503)",0.5213292706151209,0.5404971932638332,0.3793621013133208,0.4458163377797376,0.5430978105515484
Soft Voting Ensemble,0.5210436107408113,0.5400427122263748,0.3795497185741088,0.44579109739973555,0.5430957065683453
Logistic Regression [Indicator],0.5210436107408113,0.5519750519750519,0.298874296435272,0.3877799415774099,0.5405548929217652
LSTM [Candlestick],0.5249093338423363,0.5366903378523779,0.46888512878360594,0.5005017057997191,0.5388388300730145
Transformer [Indicator],0.4996182477572056,0.57421875,0.05527354765933446,0.10084033613445378,0.5351386721945097
LightGBM [Indicator],0.5251380689392496,0.5374372407771228,0.4619136960600375,0.49682171324790636,0.5341860450774774
LightGBM [Candlestick],0.5282803275566559,0.5293658231802562,0.6358348968105065,0.5777361063757245,0.5338802238638128
Transformer [Candlestick],0.5230960106890628,0.5301498127340823,0.5322429028012784,0.5311942959001783,0.533580877849383
LSTM [Indicator],0.5041038366100401,0.5533391153512576,0.11994735852603873,0.19715698393077874,0.533506973085729
XGBoost [Indicator],0.5205675109502952,0.5321841588479163,0.4575984990619137,0.4920811056188843,0.5326290068183566
XGBoost [Candlestick],0.5254237288135594,0.5297865013774105,0.5772983114446529,0.5525228945950799,0.5320414150955717
Logistic Regression [Candlestick],0.5256141687297657,0.5292535305985205,0.5906191369606004,0.5582550097535024,0.5315677649458986
Stacking Meta-Learner,0.5185678918301276,0.5235316997277324,0.5081162702906757,0.5157088122605364,0.5308677385836431
Random Forest [Candlestick],0.5131403542182441,0.5214554083448685,0.4947467166979362,0.5077500722056417,0.5187176512582545
Random Forest [Indicator],0.5097124357265282,0.5334813170551239,0.27054409005628516,0.359019046433462,0.5176908711796381
1D-CNN [Candlestick],0.5100209963733537,0.5328830430145752,0.2818198909569468,0.36866699458927693,0.5129276850998195
1D-CNN [Indicator],0.4957052872685627,0.5264750378214826,0.06542583192329385,0.11638795986622073,0.5094581334069174
